TITLE,KSA,EG,IMAGE,DESCRIPTION
Rise of the Planet of the Apes,14:00 EGYPT,15:00 KSA,http://www.mbc.net//.imaging/stk/mbc/listing/media/Photos/2015/July/Week-3/17-7-2015/Rise-of-the-Planet-of-the-Apes/original/5eb18536dd588ba20ee6b87798f9f087c4f41798/Rise-of-the-Planet-of-the-Apes.jpg,"A substance, designed to help the brain repair itself, gives rise to a super-intelligent chimp who leads an ape uprising."
Bewitched,16:00 EGYPT,17:00 KSA,http://www.mbc.net//.imaging/stk/mbc/listing/media/Photos/Grid/2013/june/02/BEWITCHED/original/46a5d650e28cb8574fafcea3096a9a6c5d22b2d8/BEWITCHED.jpg,"Thinking he can overshadow an unknown actress in the part, an egocentric actor unknowingly gets a witch cast in an upcoming television remake of the classic show ""Bewitched""."
There's Something About Mary,18:00 EGYPT,19:00 KSA,http://www.mbc.net//.imaging/stk/mbc/listing/media/Photos/2013/August/week-1/3-8-2013/116/Theres-Something-About-Mary_1024/original/8c046340e244ead0aa5f95c568e3b966cff5929a/Theres-Something-About-Mary_1024.jpg,"16-year-old, shy Ted Stroehmann has landed his dream-date for the prom, Mary Jensen. Yet he has an accident that lands him in hospital instead of prom. Thirteen years later, Ted is still obsessed with Mary, and upon the advice of his friend Dom, Ted hires a private investigator, Pat. Yet it seems Pat, and every other guy who meets Mary, falls head over heels for her. There’s just something about Mary…"
Scoop with Raya,20:00 EGYPT,21:00 KSA,http://www.mbc.net//.imaging/stk/mbc/listing/media/Photos/2015/February/week1/3-2-2015/MBC-2---Scoop-with-Raya--grid-1024/original/1935bfaf0849cfdd0aba304a1275626c263328e8/MBC-2---Scoop-with-Raya--grid-1024.jpg,The hottest news from Hollywood delivered to your living room.
Rock of Ages,20:30 EGYPT,21:30 KSA,http://www.mbc.net//.imaging/stk/mbc/listing/media/Photos/2015/July/Week-3/17-7-2015/Rock-of-Ages/original/1d7e91bb3eddaa158f255d4e99c722aadd597bfb/Rock-of-Ages.jpg,"A small town girl and a city boy meet on the Sunset Strip, while pursuing their Hollywood dreams."
Magnolia,22:30 EGYPT,23:30 KSA,http://www.mbc.net//.imaging/stk/mbc/listing/media/Photos/2013/july/week3/25-7-2013/35/GRID-MAX1024/MAGNOLIA_1024/original/84a826cbdca492b2a44c0a2b94c42c3997b172f5/MAGNOLIA_1024.jpg,The epic film by Paul Thomas Anderson depicts eleven lives intertwined in the span of 24 hours in the San Fernando Valley. But to Los Angelinos it's just another day of raining cats & dogs- or is it frogs?
Jeepers Creepers II,01:30 EGYPT,02:30 KSA,http://www.mbc.net//.imaging/stk/mbc/listing/media/Photos/Grid/MBC-2/2014/sep/20-9-2014/JEEPERS-CREEPERS-II_1024/original/14396aa986613b189663615406994a6be8efeaaa/JEEPERS-CREEPERS-II_1024.jpg,"A championship basketball team's bus is attacked by The Creeper, the winged, flesh-eating terror, on the last day of his 23-day feeding frenzy."
Prometheus,03:00 EGYPT,04:00 KSA,http://www.mbc.net//.imaging/stk/mbc/listing/media/Photos/2015/November/week-3/18-11-2015/Prometheus/original/c52dd23a20226ac954eac066a3568ec41ce8da7e/Prometheus.jpg,Following clues to the origin of mankind a team journey across the universe and find a structure on a distant planet containing a monolithic statue of a humanoid head and stone cylinders of alien blood but they soon find they are not alone.
Next,05:00 EGYPT,06:00 KSA,http://www.mbc.net//.imaging/stk/mbc/listing/media/Photos/Grid/MAX/2013/june/26-6-2013/NEXT/original/6f408d98918ef8f4e1ca3891ae604964ae8cd8f0/NEXT.jpg,A Las Vegas magician who can see into the future is pursued by FBI agents seeking to use his abilities to prevent a nuclear terrorist attack.
Good Advice,06:30 EGYPT,07:30 KSA,http://www.mbc.net//.imaging/stk/mbc/listing/media/Photos/Grid/MAX/2014/sep/19-9-2014/GOOD-ADVICE_1024/original/d7f0e3a4afafb096586a021de465d48e68ead0ff/GOOD-ADVICE_1024.jpg,An investment banker loses everything and must discover what's important in life.
Bewitched,08:30 EGYPT,09:30 KSA,http://www.mbc.net//.imaging/stk/mbc/listing/media/Photos/Grid/2013/june/02/BEWITCHED/original/46a5d650e28cb8574fafcea3096a9a6c5d22b2d8/BEWITCHED.jpg,"Thinking he can overshadow an unknown actress in the part, an egocentric actor unknowingly gets a witch cast in an upcoming television remake of the classic show ""Bewitched""."
Scoop with Raya,08:30 EGYPT,09:30 KSA,http://www.mbc.net//.imaging/stk/mbc/listing/media/Photos/2015/February/week1/3-2-2015/MBC-2---Scoop-with-Raya--grid-1024/original/1935bfaf0849cfdd0aba304a1275626c263328e8/MBC-2---Scoop-with-Raya--grid-1024.jpg,The hottest news from Hollywood delivered to your living room.
You May Not Kiss the Bride,10:00 EGYPT,11:00 KSA,http://www.mbc.net//.imaging/stk/mbc/listing/media/videos/2015/march/week-02/10-3-2015/YOU-MAY-NOT-KISS-THE-BRIDE/original/5b1de114e50ab40f5e5506d3f7225f739a050aa9/YOU-MAY-NOT-KISS-THE-BRIDE.jpg,"An unassuming pet photographer is thrown into serious action, adventure and romance when he's forced to marry a Croatian bride and spend his honeymoon at a remote tropical resort where she is kidnapped."
Rock of Ages,11:45 EGYPT,12:45 KSA,http://www.mbc.net//.imaging/stk/mbc/listing/media/Photos/2015/July/Week-3/17-7-2015/Rock-of-Ages/original/1d7e91bb3eddaa158f255d4e99c722aadd597bfb/Rock-of-Ages.jpg,"A small town girl and a city boy meet on the Sunset Strip, while pursuing their Hollywood dreams."
There's Something About Mary,14:00 EGYPT,15:00 KSA,http://www.mbc.net//.imaging/stk/mbc/listing/media/Photos/2013/August/week-1/3-8-2013/116/Theres-Something-About-Mary_1024/original/8c046340e244ead0aa5f95c568e3b966cff5929a/Theres-Something-About-Mary_1024.jpg,"16-year-old, shy Ted Stroehmann has landed his dream-date for the prom, Mary Jensen. Yet he has an accident that lands him in hospital instead of prom. Thirteen years later, Ted is still obsessed with Mary, and upon the advice of his friend Dom, Ted hires a private investigator, Pat. Yet it seems Pat, and every other guy who meets Mary, falls head over heels for her. There’s just something about Mary…"
Scoop with Raya,15:30 EGYPT,16:30 KSA,http://www.mbc.net//.imaging/stk/mbc/listing/media/Photos/2015/February/week1/3-2-2015/MBC-2---Scoop-with-Raya--grid-1024/original/1935bfaf0849cfdd0aba304a1275626c263328e8/MBC-2---Scoop-with-Raya--grid-1024.jpg,The hottest news from Hollywood delivered to your living room.
The Water Horse,16:00 EGYPT,17:00 KSA,http://www.mbc.net//.imaging/stk/mbc/listing/media/Photos/Grid/2013/june/03/THE-WATER-HORSE/original/ef6a9f3df37c894b89ae028a3770f0a4b0342eaa/THE-WATER-HORSE.jpg,A lonely boy discovers a mysterious egg that hatches a sea creature of Scottish legend.
Eragon,18:00 EGYPT,19:00 KSA,http://www.mbc.net//.imaging/stk/mbc/listing/media/Photos/2014/march/week3/19-3-2014/ERAGON/original/39b23018555883889dbdd9085c49ebf278a70c4c/ERAGON.jpg,"In his homeland of Alagaesia, a farm boy happens upon a dragon's egg -- a discovery that leads him on a predestined journey."
I Am Number Four,20:00 EGYPT,21:00 KSA,http://www.mbc.net//.imaging/stk/mbc/listing/media/Photos/2015/December/week-3/12-12-2015/I Am Number Four/original/0b3f962d3d4c423aa37387da9d6f5e09987708b9/I Am Number Four.jpg,"Aliens and their Guardians are hiding on Earth from intergalactic bounty hunters. They can only be killed in numerical order, and Number Four is next on the list. This is his story."
Evil Dead,22:00 EGYPT,23:00 KSA,http://www.mbc.net//.imaging/stk/mbc/listing/media/Photos/2016/february/Week-3/17-2-2016/001/Evil-Dead/original/61410a94219a16956bd8fb1fd9337e44a51df642/Evil Dead.jpg,"Five friends head to a remote cabin, where the discovery of a Book of the Dead leads them to unwittingly summon up demons living in the nearby woods. The evil presence possesses them until only one is left to fight for survival."
World War Z,00:00 EGYPT,01:00 KSA,http://www.mbc.net//.imaging/stk/mbc/listing/media/Photos/2015/December/week-3/12-12-2015/World-War-Z/original/501a24172e0f7e96333bbc574f6404f6bc1551a2/World War Z.jpg,"United Nations employee Gerry Lane traverses the world in a race against time to stop the Zombie pandemic that is toppling armies and governments, and threatening to destroy humanity itself."
